# FEAT_ID     Feature Postfix Expression (RPN)
0             13|sp|14|6|sub|mult
1             12|sp|6|5|mult|mult
2             8|6|mult|12|sp|mult
3             6|13|div|12|sp|mult
4             12|sp|17|6|sub|mult
5             7|6|mult|12|sp|mult
6             16|11|mult|0|log:1.0000000000000e+00,6.4117562508368e+01|div
7             10|15|div|2|cbrt|div
8             17|13|mult|exp:9.3812983523728e-03,0.0000000000000e+00,-2.3832271397673e-01,-4.8115820355595e+00
9             19|3|div|exp:4.6167140394823e+00,0.0000000000000e+00,1.0521055149446e+00,7.4957048551518e+00
10            6|10|div|19|sp|mult
11            6|4|mult|19|sp|mult
12            12|9|mult|exp:7.0162516023181e-01,0.0000000000000e+00,4.4450635848651e+00,-3.1175494542064e+00
13            12|sp|12|5|add|mult
14            11|cb|3|cbrt|div
15            18|14|div|12|17|div|abd
16            13|11|mult|exp:8.1902463528746e-01,0.0000000000000e+00,-4.3650209395986e+00,5.0458838103573e+00
17            19|cb|0|log:1.0000000000000e+00,6.4117562508368e+01|div
18            11|18|div|0|log:1.0000000000000e+00,6.4117562508368e+01|div
19            11|9|mult|exp:9.0695311314752e-01,0.0000000000000e+00,5.1042023607130e+00,-2.7059619131977e+00
20            11|16|div|exp:5.6112679000671e-01,0.0000000000000e+00,5.0595020246443e+00,2.1517303502887e+00
21            3|19|div|exp:2.1824717464156e-01,0.0000000000000e+00,2.0088596139054e+01,-2.7553885039307e-02
22            18|11|sub|0|log:1.0000000000000e+00,6.4117562508368e+01|div
23            12|sp|14|6|sub|mult
24            12|5|add|13|sp|mult
25            19|sq|0|log:1.0000000000000e+00,6.4117562508368e+01|div
26            16|3|div|exp:1.3684422087866e+00,0.0000000000000e+00,6.7023275982538e-01,3.1684237203065e+01
27            19|log:-1.0000000000000e+00,9.5413034096646e-03|0|log:1.0000000000000e+00,6.4117562508368e+01|div
28            11|sp|0|log:1.0000000000000e+00,6.4117562508368e+01|div
29            12|sp|18|6|mult|mult
30            2|sqrt|15|10|div|mult
31            3|16|div|exp:1.8429720231519e-01,0.0000000000000e+00,2.5370426144678e+01,1.1257383527129e+00
32            18|16|abd|log:1.0000000000000e+00,-2.3653030343611e-01,4.0838643464945e+00,8.2092943330542e+00
33            0|19|div|exp:1.9371967272807e-03,0.0000000000000e+00,8.3643619354836e+02,9.3075677843288e-01
34            16|sp|0|log:1.0000000000000e+00,6.4117562508368e+01|div
35            11|sp|3|sqrt|div
36            19|0|div|exp:4.9218706063745e+01,0.0000000000000e+00,1.3319226924946e+00,6.3291857240404e+02
37            11|0|div|exp:6.6339522133792e+01,0.0000000000000e+00,3.6648749657398e+00,7.4655500579637e+02
38            13|11|mult|0|log:1.0000000000000e+00,6.4117562508368e+01|div
39            12|11|mult|0|log:1.0000000000000e+00,6.4117562508368e+01|div
40            11|sq|0|log:1.0000000000000e+00,6.4117562508368e+01|div
41            11|sp|3|cbrt|div
42            3|11|div|exp:1.0362117220916e+00,0.0000000000000e+00,2.9924068511048e+01,-3.9495729905897e-01
43            10|15|div|2|sqrt|div
44            19|11|mult|0|log:1.0000000000000e+00,6.4117562508368e+01|div
45            11|sp|2|3|div|mult
46            16|0|div|exp:1.2327053527953e+02,0.0000000000000e+00,2.1099834585480e+00,6.0419715804940e+02
47            11|cb|0|log:1.0000000000000e+00,6.4117562508368e+01|div
48            0|16|div|exp:5.8613946867429e-04,0.0000000000000e+00,3.4958553621898e+02,2.1496516002031e+00
49            0|11|div|exp:2.2586030103572e-03,0.0000000000000e+00,7.7187906832470e+02,4.0519999990271e+00
#-----------------------------------------------------------------------
50            14|3|mult|4|cbrt|div
51            4|3|div|12|11|abd|div
52            15|7|sub|14|2|mult|div
53            3|1|mult|15|13|mult|mult
54            3|1|mult|14|7|div|mult
55            9|1|mult|14|3|mult|mult
56            14|3|mult|7|4|mult|div
57            14|3|mult|4|sqrt|div
58            3|sqrt|15|1|mult|mult
59            2|11|div|8|sp|div
60            14|3|mult|5|4|mult|div
61            14|2|mult|15|7|sub|div
62            9|7|mult|14|2|mult|div
63            8|1|mult|14|3|mult|mult
64            8|sp|16|2|div|mult
65            12|2|mult|14|10|div|mult
66            3|1|mult|14|5|mult|mult
67            3|1|mult|14|log:1.0000000000000e+00,2.6789708119810e-02|div
68            14|3|mult|16|1|mult|mult
69            3|1|mult|14|5|div|mult
