# c0 + a0 * ((av_E_def_subsurf * particle_diameter) / (av_bulk_int_dist * av_PE)) + a1 * (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.149827146233961; Max AE: 0.546926281301358
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.104366168282879e+00, -3.009908611183433e+00, -4.294755854502173e-01, 
# 3   ,  6.977391405020025e+00, -2.954346046907465e+00, -8.843157389211626e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; A^-1 * eV * nm;                                   14|2|mult|8|7|mult|div; ((av_E_def_subsurf * particle_diameter) / (av_bulk_int_dist * av_PE)); $\left(\frac{ \left(av_{E, def, subsurf} particle_{diameter}\right) }{ \left(av_{bulk, int, dist} av_{PE}\right) } \right)$; ((av_E_def_subsurf .* particle_diameter) ./ (av_bulk_int_dist .* av_PE)); av_E_def_subsurf,particle_diameter,av_bulk_int_dist,av_PE
# 1;  2; Unitless;                                         0|16|div|exp:5.8613946867429e-04,0.0000000000000e+00,3.4958553621898e+02,2.1496516002031e+00; (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00)))); $\left(\exp{ \left(5.861e-04\left(\frac{ time +3.496e+02 }{ av_{BE, H, surf}+2.150e+00 } \right) \right)}\right)$; exp(5.861395e-04.*((time+3.495855e+02) ./ (av_BE_H_surf+2.149652e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.720446392293838e-01,  2.196490739961122e-01,  1.171033735541322e-09
PdAg_1_9_100,  4.212956441336370e-01,  4.720446411133463e-01,  2.196490739961122e-01,  5.451135977340660e-10
PdAg_1_9_100,  4.889175556194310e-01,  4.720446419903266e-01,  2.196490739961122e-01,  2.537491665833345e-10
PdAg_1_9_100,  5.056601140297000e-01,  4.720446423985589e-01,  2.196490739961122e-01,  1.181196723203897e-10
PdAg_1_9_100,  5.224295719363120e-01,  4.720446427182269e-01,  2.196490739961122e-01,  1.191447911842328e-11
PdAg_1_9_100,  5.245052994310410e-01,  4.720446427373949e-01,  2.196490739961122e-01,  5.546163513700060e-12
PdAg_1_9_100,  5.324653140763990e-01,  4.720446427504711e-01,  2.196490739961122e-01,  1.201788066921688e-12
PdAg_1_9_100,  5.311850747278510e-01,  4.720446427537235e-01,  2.196490739961122e-01,  1.212217960550256e-13
PdAg_1_9_100,  5.354507873556270e-01,  4.720446427540093e-01,  2.196490739961122e-01,  2.626733012647055e-14
PdAg_1_9_100,  5.338785022320920e-01,  4.720446427540804e-01,  2.196490739961122e-01,  2.649529499537402e-15
PdAg_1_9_100,  5.374193757726820e-01,  4.720446427540876e-01,  2.196490739961122e-01,  2.672523829075638e-16
PdAg_1_9_100,  5.243066765750370e-01,  4.720446427540883e-01,  2.196490739961122e-01,  2.695717718268165e-17
PdAg_1_9_100,  5.406782826954460e-01,  4.720446427540884e-01,  2.196490739961122e-01,  5.841301608943593e-18
PdAg_1_9_100,  5.449528999218350e-01,  4.720446427540884e-01,  2.196490739961122e-01,  2.719112899022612e-18
PdAg_1_9_100,  5.492079417796780e-01,  4.720446427540884e-01,  2.196490739961122e-01,  1.265741003051603e-18
PdAg_1_9_100,  5.484023401121820e-01,  4.720446427540884e-01,  2.196490739961122e-01,  5.891996199870713e-19
PdAg_1_9_100,  5.513618316460450e-01,  4.720446427540884e-01,  2.196490739961122e-01,  2.742711118277299e-19
PdAg_1_5_100,  2.374958845661730e-01,  3.485952996383028e-01,  2.155093100316344e-01,  3.536925857474760e-02
PdAg_1_5_100,  4.808701435604430e-01,  3.610346150176972e-01,  2.155093100316344e-01,  3.123647017938717e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.817225957213793e-01,  2.155093100316344e-01,  2.436317820407099e-02
PdAg_1_5_100,  5.423108450430540e-01,  3.902910890836123e-01,  2.155093100316344e-01,  2.151641623581840e-02
PdAg_1_5_100,  5.500936576470050e-01,  3.978583805162565e-01,  2.155093100316344e-01,  1.900228959272774e-02
PdAg_1_5_100,  5.645630120222940e-01,  4.045414573660294e-01,  2.155093100316344e-01,  1.678193086657189e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.156561659084585e-01,  2.155093100316344e-01,  1.308922454946578e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.202596266199240e-01,  2.155093100316344e-01,  1.155978917247088e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.243251871951276e-01,  2.155093100316344e-01,  1.020906358562157e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.310866717434481e-01,  2.155093100316344e-01,  7.962654999261833e-03
PdAg_1_5_100,  5.579843483292020e-01,  4.385445953866727e-01,  2.155093100316344e-01,  5.484864273153261e-03
PdAg_1_5_100,  5.640054092902220e-01,  4.404736139541029e-01,  2.155093100316344e-01,  4.843974858683065e-03
PdAg_1_5_100,  5.619488591146869e-01,  4.436817888160528e-01,  2.155093100316344e-01,  3.778103672418546e-03
PdAg_1_5_100,  5.681292230354840e-01,  4.472204086241063e-01,  2.155093100316344e-01,  2.602446778748879e-03
PdAg_1_5_100,  5.688182680948790e-01,  4.481356852666893e-01,  2.155093100316344e-01,  2.298358927316349e-03
PdAg_1_5_100,  5.669074847793930e-01,  4.489440146663999e-01,  2.155093100316344e-01,  2.029802800161119e-03
PdAg_1_5_100,  5.713037334532890e-01,  4.496578932775622e-01,  2.155093100316344e-01,  1.792626625273326e-03
PdAg_1_5_100,  5.756184173897150e-01,  4.508451537080649e-01,  2.155093100316344e-01,  1.398175967837645e-03
PdAg_1_5_100,  5.748142709268410e-01,  4.513368901063008e-01,  2.155093100316344e-01,  1.234803433399594e-03
PdAg_1_5_100,  5.815291194929140e-01,  4.517711686283443e-01,  2.155093100316344e-01,  1.090520473966891e-03
PdAg_1_1_100, -9.717271086694580e-01, -8.050745219681353e-01,  2.935438380256001e-01,  5.250692091932706e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.676685097466672e-01,  2.935438380256001e-01,  5.126415852838653e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.606792248359409e-01,  2.935438380256001e-01,  4.770958931278964e-01
PdAg_1_1_100, -6.470710172478540e-01, -5.935069090234328e-01,  2.935438380256001e-01,  4.547788315523632e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.611083942500195e-01,  2.935438380256001e-01,  4.440148785695266e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.294767051631587e-01,  2.935438380256001e-01,  4.335056926861640e-01
PdAg_1_1_100, -4.356272700356220e-01, -4.985936921150142e-01,  2.935438380256001e-01,  4.232452439358605e-01
PdAg_1_1_100, -3.942969479298420e-01, -4.684416350334963e-01,  2.935438380256001e-01,  4.132276450727300e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.390032332548282e-01,  2.935438380256001e-01,  4.034471481934266e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.102615955967631e-01,  2.935438380256001e-01,  3.938981414391104e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.019386580161978e-01,  2.935438380256001e-01,  3.579093618535485e-01
PdAg_1_1_100, -2.410399546736480e-01, -2.764411393476754e-01,  2.935438380256001e-01,  3.494381682187034e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.515471098327493e-01,  2.935438380256001e-01,  3.411674754068249e-01
PdAg_1_1_100, -2.107963275440860e-01, -2.272422857615710e-01,  2.935438380256001e-01,  3.330925378552751e-01
PdAg_1_1_100, -1.764119820223890e-01, -1.577252324103463e-01,  2.935438380256001e-01,  3.099964700567607e-01
PdAg_1_1_100, -1.507812993782130e-01, -1.140795396107367e-01,  2.935438380256001e-01,  2.954957996252924e-01
PdAg_1_1_100, -1.177762941936660e-01, -5.240899784513427e-02,  2.935438380256001e-01,  2.750066254568598e-01
PdAg_1_1_100, -1.127993153452220e-01, -3.281748302629922e-02,  2.935438380256001e-01,  2.684976189222288e-01
PdAg_1_1_100, -1.052140905390360e-01, -1.368967084650882e-02,  2.935438380256001e-01,  2.621426710979924e-01
PdAu_1_9_100, -9.100467303064901e-02, -7.273144999613926e-02,  2.322085381910098e-01,  1.981205444138262e-01
PdAu_1_9_100, -1.007560701613500e-02,  2.255500705613789e-02,  2.322085381910098e-01,  1.664629529845594e-01
PdAu_1_9_100,  4.079877212234700e-02,  7.746171071728851e-02,  2.322085381910098e-01,  1.482209693385634e-01
PdAu_1_9_100,  5.806571622389000e-02,  1.026156845961070e-01,  2.322085381910098e-01,  1.398639136507734e-01
PdAu_1_9_100,  7.894321375694401e-02,  1.263514167685556e-01,  2.322085381910098e-01,  1.319780489157919e-01
PdAu_1_9_100,  1.082976085838650e-01,  1.698835029875740e-01,  2.322085381910098e-01,  1.175151226803331e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.898265133420352e-01,  2.322085381910098e-01,  1.108893366746178e-01
PdAu_1_9_100,  1.313415091122350e-01,  2.086450886799252e-01,  2.322085381910098e-01,  1.046371284620598e-01
PdAu_1_9_100,  1.429267254119260e-01,  2.264026273590655e-01,  2.322085381910098e-01,  9.873743482579407e-02
PdAu_1_9_100,  1.597320334915230e-01,  2.431589531849781e-01,  2.322085381910098e-01,  9.317038014391643e-02
PdAu_1_9_100,  1.835385422534630e-01,  2.738905866255629e-01,  2.322085381910098e-01,  8.296022514904376e-02
PdAu_1_9_100,  2.085112147402500e-01,  3.012544679952715e-01,  2.322085381910098e-01,  7.386895863416119e-02
PdAu_1_9_100,  2.229614152668760e-01,  3.137904665400860e-01,  2.322085381910098e-01,  6.970404861056895e-02
PdAu_1_9_100,  2.440082744924090e-01,  3.367818857863728e-01,  2.322085381910098e-01,  6.206547142558023e-02
PdAu_1_9_100,  2.592868694966930e-01,  3.473147628413701e-01,  2.322085381910098e-01,  5.856607047504574e-02
PdAu_1_9_100,  2.857011488378830e-01,  3.666323936926603e-01,  2.322085381910098e-01,  5.214805805449756e-02
PdAu_1_9_100,  2.971222466409820e-01,  3.754822271270761e-01,  2.322085381910098e-01,  4.920782478577506e-02
PdAu_1_9_100,  3.090110205184420e-01,  3.838330856109898e-01,  2.322085381910098e-01,  4.643336895914772e-02
PdAu_1_9_100,  3.282848750136670e-01,  3.917131025553943e-01,  2.322085381910098e-01,  4.381534364265605e-02
PdAu_1_9_100,  3.423906872889970e-01,  3.991488251417266e-01,  2.322085381910098e-01,  4.134492890690475e-02
PdAu_1_9_100,  3.588392118477170e-01,  4.061653037573155e-01,  2.322085381910098e-01,  3.901380211138714e-02
PdAu_1_5_100, -8.038512742030930e-01, -4.174806210257553e-01,  2.282536715495422e-01,  3.072657021656890e-01
PdAu_1_5_100, -3.409682634967890e-01, -3.777800073712691e-01,  2.282536715495422e-01,  2.940757290525596e-01
PdAu_1_5_100, -3.133863092721550e-01, -3.397836191574575e-01,  2.282536715495422e-01,  2.814519609844413e-01
PdAu_1_5_100, -2.174925417142420e-01, -2.686140308034274e-01,  2.282536715495422e-01,  2.578068615652773e-01
PdAu_1_5_100, -1.699783647313870e-01, -2.353038027619017e-01,  2.282536715495422e-01,  2.467400046122920e-01
PdAu_1_5_100, -1.087631903666510e-01, -1.729116826384284e-01,  2.282536715495422e-01,  2.260110961359174e-01
PdAu_1_5_100, -7.919011777646100e-02, -1.157611955031638e-01,  2.282536715495422e-01,  2.070236468416366e-01
