# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)) + a2 * (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.121399935371058; Max AE: 0.508235933797094
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -5.371819111356429e-07,  7.948396180761030e+01, -2.940881521543888e+00,  4.128260256388770e-02, 
# 3   , -1.001493458606737e-06,  1.289843114917483e+02, -2.815356485998788e+00, -5.750691530719691e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A^-1 * eV * nm;                                   2|1|mult|14|8|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{bulk, int, dist} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ av_bulk_int_dist)); particle_diameter,total_metal_loading,av_E_def_subsurf,av_bulk_int_dist
# 2;  2; Unitless;                                         0|16|div|exp:5.8613946867429e-04,0.0000000000000e+00,3.4958553621898e+02,2.1496516002031e+00; (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00)))); $\left(\exp{ \left(5.861e-04\left(\frac{ time +3.496e+02 }{ av_{BE, H, surf}+2.150e+00 } \right) \right)}\right)$; exp(5.861395e-04.*((time+3.495855e+02) ./ (av_BE_H_surf+2.149652e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.752375158174738e-01, -7.660313335186942e+01,  5.459136120191973e-03,  1.171033735541322e-09
PdAg_1_9_100,  4.212956441336370e-01,  4.752786674758037e-01, -1.532062667037388e+02,  5.459136120191973e-03,  5.451135977340660e-10
PdAg_1_9_100,  4.889175556194310e-01,  4.753198181502449e-01, -2.298094000556082e+02,  5.459136120191973e-03,  2.537491665833345e-10
PdAg_1_9_100,  5.056601140297000e-01,  4.753609683666881e-01, -3.064125334074777e+02,  5.459136120191973e-03,  1.181196723203897e-10
PdAg_1_9_100,  5.224295719363120e-01,  4.754844181317438e-01, -5.362219334630859e+02,  5.459136120191973e-03,  1.191447911842328e-11
PdAg_1_9_100,  5.245052994310410e-01,  4.755255679680452e-01, -6.128250668149553e+02,  5.459136120191973e-03,  5.546163513700060e-12
PdAg_1_9_100,  5.324653140763990e-01,  4.756078676159674e-01, -7.660313335186941e+02,  5.459136120191973e-03,  1.201788066921688e-12
PdAg_1_9_100,  5.311850747278510e-01,  4.757313170718640e-01, -9.958407335743022e+02,  5.459136120191973e-03,  1.212217960550256e-13
PdAg_1_9_100,  5.354507873556270e-01,  4.758136167072891e-01, -1.149047000278041e+03,  5.459136120191973e-03,  2.626733012647055e-14
PdAg_1_9_100,  5.338785022320920e-01,  4.759370661600774e-01, -1.378856400333649e+03,  5.459136120191973e-03,  2.649529499537402e-15
PdAg_1_9_100,  5.374193757726820e-01,  4.760605156128032e-01, -1.608665800389258e+03,  5.459136120191973e-03,  2.672523829075638e-16
PdAg_1_9_100,  5.243066765750370e-01,  4.761839650655227e-01, -1.838475200444866e+03,  5.459136120191973e-03,  2.695717718268165e-17
PdAg_1_9_100,  5.406782826954460e-01,  4.762662647006686e-01, -1.991681467148604e+03,  5.459136120191973e-03,  5.841301608943593e-18
PdAg_1_9_100,  5.449528999218350e-01,  4.763074145182416e-01, -2.068284600500474e+03,  5.459136120191973e-03,  2.719112899022612e-18
PdAg_1_9_100,  5.492079417796780e-01,  4.763485643358145e-01, -2.144887733852343e+03,  5.459136120191973e-03,  1.265741003051603e-18
PdAg_1_9_100,  5.484023401121820e-01,  4.763897141533874e-01, -2.221490867204213e+03,  5.459136120191973e-03,  5.891996199870713e-19
PdAg_1_9_100,  5.513618316460450e-01,  4.764308639709604e-01, -2.298094000556082e+03,  5.459136120191973e-03,  2.742711118277299e-19
PdAg_1_5_100,  2.374958845661730e-01,  3.974140830526722e-01, -9.122135255363506e+01,  5.788580067449701e-03,  3.536925857474760e-02
PdAg_1_5_100,  4.808701435604430e-01,  4.096171265375398e-01, -1.824427051072701e+02,  5.788580067449701e-03,  3.123647017938717e-02
PdAg_1_5_100,  5.367991849441260e-01,  4.299286688209254e-01, -3.648854102145402e+02,  5.788580067449701e-03,  2.436317820407099e-02
PdAg_1_5_100,  5.423108450430540e-01,  4.383496609500945e-01, -4.561067627681754e+02,  5.788580067449701e-03,  2.151641623581840e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.457924119980821e-01, -5.473281153218104e+02,  5.788580067449701e-03,  1.900228959272774e-02
PdAg_1_5_100,  5.645630120222940e-01,  4.523712264075337e-01, -6.385494678754454e+02,  5.788580067449701e-03,  1.678193086657189e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.633290431010017e-01, -8.209921729827156e+02,  5.788580067449701e-03,  1.308922454946578e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.678759338001027e-01, -9.122135255363507e+02,  5.788580067449701e-03,  1.155978917247088e-02
PdAg_1_5_100,  5.598480318312991e-01,  4.718972601796455e-01, -1.003434878089986e+03,  5.788580067449701e-03,  1.020906358562157e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.786016866021107e-01, -1.185877583197256e+03,  5.788580067449701e-03,  7.962654999261833e-03
PdAg_1_5_100,  5.579843483292020e-01,  4.860355829442796e-01, -1.459541640858161e+03,  5.788580067449701e-03,  5.484864273153261e-03
PdAg_1_5_100,  5.640054092902220e-01,  4.879693652411491e-01, -1.550762993411796e+03,  5.788580067449701e-03,  4.843974858683065e-03
PdAg_1_5_100,  5.619488591146869e-01,  4.912019710381829e-01, -1.733205698519066e+03,  5.788580067449701e-03,  3.778103672418546e-03
PdAg_1_5_100,  5.681292230354840e-01,  4.948064460539551e-01, -2.006869756179971e+03,  5.788580067449701e-03,  2.602446778748879e-03
PdAg_1_5_100,  5.688182680948790e-01,  4.957497348576601e-01, -2.098091108733607e+03,  5.788580067449701e-03,  2.298358927316349e-03
PdAg_1_5_100,  5.669074847793930e-01,  4.965885290700094e-01, -2.189312461287242e+03,  5.788580067449701e-03,  2.029802800161119e-03
PdAg_1_5_100,  5.713037334532890e-01,  4.973350385605886e-01, -2.280533813840877e+03,  5.788580067449701e-03,  1.792626625273326e-03
