# c0 + a0 * ((time / particle_diameter) * (av_d_band_center_surf - av_mu_C_critical_surf)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)) + a3 * (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00)))) + a4 * ((av_mu_C_critical_surf^6) / (ln(1.0*time+6.411756e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0912278455554562; Max AE: 0.5011701482816
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.420008175538188e-03,  9.320870123316504e-07,  8.201190301889731e+01, -3.795775227257123e+00,  8.606758402347551e-05,  2.165074960583774e-02, 
# 3   , -1.648108556895463e-04,  1.090494874727699e-06,  1.394032721373351e+02, -3.059258556125617e+00,  1.985672170800914e-05, -1.307805010351746e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min * nm^-1;                                 0|2|div|18|11|sub|mult; ((time / particle_diameter) * (av_d_band_center_surf - av_mu_C_critical_surf)); $\left(\left(\frac{ time }{ particle_{diameter} } \right) \left(av_{d, band, center, surf} - av_{mu, C, critical, surf}\right)\right)$; ((time ./ particle_diameter) .* (av_d_band_center_surf - av_mu_C_critical_surf)); time,particle_diameter,av_d_band_center_surf,av_mu_C_critical_surf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A^-1 * eV * nm;                                   2|1|mult|14|8|div|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf / av_bulk_int_dist)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{bulk, int, dist} } \right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf ./ av_bulk_int_dist)); particle_diameter,total_metal_loading,av_E_def_subsurf,av_bulk_int_dist
# 3;  2; Unitless;                                         0|16|div|exp:5.8613946867429e-04,0.0000000000000e+00,3.4958553621898e+02,2.1496516002031e+00; (exp(5.861395e-04*((time+3.495855e+02) / (av_BE_H_surf+2.149652e+00)))); $\left(\exp{ \left(5.861e-04\left(\frac{ time +3.496e+02 }{ av_{BE, H, surf}+2.150e+00 } \right) \right)}\right)$; exp(5.861395e-04.*((time+3.495855e+02) ./ (av_BE_H_surf+2.149652e+00))); time,av_BE_H_surf
# 4;  2; eV^6;                                             11|sp|0|log:1.0000000000000e+00,6.4117562508368e+01|div; ((av_mu_C_critical_surf^6) / (ln(1.0*time+6.411756e+01))); $\left(\frac{ \left(av_{mu, C, critical, surf}^6\right) }{ \left(\ln{ \left(1.0time+6.412e+01 \right)}\right) } \right)$; ((av_mu_C_critical_surf).^6 ./ log(1.0*time+6.411756e+01)); av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 178                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.563942382982813e-01,  4.072499999999991e-01,  7.660313335186942e+01,  5.459136120191973e-03,  1.171033735541322e-09,  1.017064085372626e+03
PdAg_1_9_100,  4.212956441336370e-01,  5.527764015702884e-01,  8.144999999999982e-01,  1.532062667037388e+02,  5.459136120191973e-03,  5.451135977340660e-10,  9.809187515009356e+02
PdAg_1_9_100,  4.889175556194310e-01,  5.497612271199147e-01,  1.221749999999997e+00,  2.298094000556082e+02,  5.459136120191973e-03,  2.537491665833345e-10,  9.517756305338513e+02
PdAg_1_9_100,  5.056601140297000e-01,  5.471707483062209e-01,  1.628999999999996e+00,  3.064125334074777e+02,  5.459136120191973e-03,  1.181196723203897e-10,  9.275669600063067e+02
PdAg_1_9_100,  5.224295719363120e-01,  5.410046074647182e-01,  2.850749999999994e+00,  5.362219334630859e+02,  5.459136120191973e-03,  1.191447911842328e-11,  8.735925320497071e+02
PdAg_1_9_100,  5.245052994310410e-01,  5.393047666358622e-01,  3.257999999999993e+00,  6.128250668149553e+02,  5.459136120191973e-03,  5.546163513700060e-12,  8.597319906765869e+02
PdAg_1_9_100,  5.324653140763990e-01,  5.362542129521342e-01,  4.072499999999991e+00,  7.660313335186941e+02,  5.459136120191973e-03,  1.201788066921688e-12,  8.360673481081448e+02
PdAg_1_9_100,  5.311850747278510e-01,  5.323018939278416e-01,  5.294249999999988e+00,  9.958407335743022e+02,  5.459136120191973e-03,  1.212217960550256e-13,  8.078148251098152e+02
PdAg_1_9_100,  5.354507873556270e-01,  5.299591182010943e-01,  6.108749999999986e+00,  1.149047000278041e+03,  5.459136120191973e-03,  2.626733012647055e-14,  7.923736964361940e+02
PdAg_1_9_100,  5.338785022320920e-01,  5.267545054309499e-01,  7.330499999999984e+00,  1.378856400333649e+03,  5.459136120191973e-03,  2.649529499537402e-15,  7.728086051421877e+02
PdAg_1_9_100,  5.374193757726820e-01,  5.238256656621020e-01,  8.552249999999981e+00,  1.608665800389258e+03,  5.459136120191973e-03,  2.672523829075638e-16,  7.564476586432984e+02
PdAg_1_9_100,  5.243066765750370e-01,  5.211013799542182e-01,  9.773999999999980e+00,  1.838475200444866e+03,  5.459136120191973e-03,  2.695717718268165e-17,  7.424633800071491e+02
PdAg_1_9_100,  5.406782826954460e-01,  5.193747061406380e-01,  1.058849999999998e+01,  1.991681467148604e+03,  5.459136120191973e-03,  5.841301608943593e-18,  7.341806016057888e+02
PdAg_1_9_100,  5.449528999218350e-01,  5.185341332657639e-01,  1.099574999999998e+01,  2.068284600500474e+03,  5.459136120191973e-03,  2.719112899022612e-18,  7.303037025981874e+02
PdAg_1_9_100,  5.492079417796780e-01,  5.177072534171550e-01,  1.140299999999998e+01,  2.144887733852343e+03,  5.459136120191973e-03,  1.265741003051603e-18,  7.265858997987622e+02
PdAg_1_9_100,  5.484023401121820e-01,  5.168930958209144e-01,  1.181024999999998e+01,  2.221490867204213e+03,  5.459136120191973e-03,  5.891996199870713e-19,  7.230159140028318e+02
PdAg_1_9_100,  5.513618316460450e-01,  5.160907854437600e-01,  1.221749999999997e+01,  2.298094000556082e+03,  5.459136120191973e-03,  2.742711118277299e-19,  7.195835783944908e+02
PdAg_1_5_100,  2.374958845661730e-01,  4.797799026705708e-01,  1.233750000000015e+00,  9.122135255363506e+01,  5.788580067449701e-03,  3.536925857474760e-02,  1.386321594393398e+03
