# c0 + a0 * ((ln(1.0*time-4.044973e+00)) / (av_BE_H_surf * surface_area)) + a1 * ((av_mu_C_critical_subsurf - av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.0086951127817529; Max AE: 0.0680136999191158
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -7.074257993551357e-01,  8.080027081198883e-04, -5.393719416686592e-01,  1.861613627470880e+00, 
# 3   , -1.269597529127864e+00,  6.068476842194320e-04, -5.055674056940902e-01,  1.733646483266777e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-4.0449728449019e+00|16|4|mult|div; ((ln(1.0*time-4.044973e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-4.045e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-4.044973e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; Unitless;                                         12|11|sub|18|16|sub|div; ((av_mu_C_critical_subsurf - av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_mu_C_critical_subsurf - av_mu_C_critical_surf) ./ (av_d_band_center_surf - av_BE_H_surf)); av_mu_C_critical_subsurf,av_mu_C_critical_surf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A;                                                8|6|div|14|6|add|mult; ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA)); $\left(\left(\frac{ av_{bulk, int, dist} }{ av_{EA} } \right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_bulk_int_dist ./ av_EA) .* (av_E_def_subsurf + av_EA)); av_bulk_int_dist,av_EA,av_E_def_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.119230952878107e-02, -1.424750490957668e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.517176084290377e-02, -1.987276103926580e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.724694115966823e-02, -2.280618574424002e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.866037402878822e-02, -2.480418026240504e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.973357359038335e-02, -2.632122920601625e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.059896677706556e-02, -2.754452808410508e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.132412129764665e-02, -2.856958897563917e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.194821363324289e-02, -2.945179080679260e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.249599816933661e-02, -3.022612577816757e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.298411859436793e-02, -3.091612100519553e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.342430482372586e-02, -3.153835761256707e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.382513514356248e-02, -3.210496165811096e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.419307303386902e-02, -3.262506976081491e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.453310983865002e-02, -3.310573756384235e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.484918045335476e-02, -3.355252734023010e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.514444191545822e-02, -3.396990180179552e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.542146581540121e-02, -3.436149608658934e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.568237466315908e-02, -3.473031052337630e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.592894072586553e-02, -3.507885034611274e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.616265908639985e-02, -3.540922896779627e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.638480259296265e-02, -3.572324565585801e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.659646383258767e-02, -3.602244486490293e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.679858764042524e-02, -3.630816219104753e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.699199659548139e-02, -3.658156041207992e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.717741124367594e-02, -3.684365807428525e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.735546630492063e-02, -3.709535240237879e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.752672378478243e-02, -3.733743783383714e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.992160875437500e-02,  7.769168367414536e-02, -3.757062114368170e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.785079275048112e-02, -3.779553388573981e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_9_100,  8.064863733312801e-02,  7.800445187109817e-02, -3.801274270220809e-02,  2.448860315604912e-01,  3.357049373881932e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.870553980399489e-02, -1.301289720888586e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.234015451212076e-02, -1.815070065263807e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.423551151135291e-02, -2.082993146519794e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.552646433111002e-02, -2.265479114791493e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.650666652568997e-02, -2.404038126277021e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.729706966329467e-02, -2.515767602121001e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.795938641958070e-02, -2.609391096894574e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.059051849144300e-02,  6.852939846474308e-02, -2.689966620954046e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.195603596803600e-02,  6.902971511008142e-02, -2.760690171861370e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.236155798974900e-02,  6.947553779670672e-02, -2.823710588565361e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.342513693604499e-02,  6.987757999228798e-02, -2.880542300943920e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.396647068078400e-02,  7.024367663751412e-02, -2.932292837263058e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.479978112520599e-02,  7.057973112398024e-02, -2.979796686680551e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.511084231693500e-02,  7.089030227422270e-02, -3.023698273324067e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.534057278525801e-02,  7.117898400804261e-02, -3.064505625004339e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.581028328531100e-02,  7.144865979201191e-02, -3.102626341581977e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.625246816708101e-02,  7.170167837717782e-02, -3.138392436824267e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.662152720325401e-02,  7.193997834887859e-02, -3.172077944465931e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.652448575173899e-02,  7.216517839966378e-02, -3.203911678970728e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.685288582387600e-02,  7.237864405703780e-02, -3.234086668004011e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.775128482761400e-02,  7.258153787141945e-02, -3.262767246881198e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.782656960335800e-02,  7.277485775246721e-02, -3.290094477698045e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.827570721293500e-02,  7.295946666129365e-02, -3.316190346550268e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.863335891894600e-02,  7.313611589688933e-02, -3.341161055246045e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.935891091470000e-02,  7.330546356676519e-02, -3.365099632271378e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.998374643776000e-02,  7.346808938961651e-02, -3.388088025258976e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.073321891950801e-02,  7.362450667080615e-02, -3.410198793813397e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.118700916977900e-02,  7.377517207485366e-02, -3.431496490926633e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.232400549504200e-02,  7.392049366403701e-02, -3.452038799295333e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.311749789736000e-02,  7.406083755965147e-02, -3.471877472940327e-02,  2.912513842746378e-01,  3.360110044243619e+00
PdAg_1_1_100,  3.009804408552100e-02,  4.038439059391950e-02, -1.312848629115271e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  2.369807884796900e-02,  4.405129033217845e-02, -1.831192707264745e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  2.696882955527700e-02,  4.596348313458263e-02, -2.101495656937685e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  2.796475357978000e-02,  4.726590304343534e-02, -2.285602585189357e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.230869246046200e-02,  4.825481203637758e-02, -2.425392368632914e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.371685647622500e-02,  4.905223605271734e-02, -2.538114298914030e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.559849175272900e-02,  4.972043594054596e-02, -2.632569418933371e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.714431523677600e-02,  5.029551120630580e-02, -2.713860667610482e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.871765226704800e-02,  5.080027199201895e-02, -2.785212431452467e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.054328665297000e-02,  5.125005476795961e-02, -2.848792636804132e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.233116079846100e-02,  5.165566816583920e-02, -2.906129165702183e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.412626246903200e-02,  5.202501672142521e-02, -2.958339384204614e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.556967115939200e-02,  5.236405626410576e-02, -3.006265193948863e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.739556882899600e-02,  5.267738611086745e-02, -3.050556743260088e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.829188170907200e-02,  5.296863210506251e-02, -3.091726572585017e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.016604379635700e-02,  5.324070332610296e-02, -3.130185902353388e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.226652898659100e-02,  5.349596938818255e-02, -3.166269695496381e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.366931621849900e-02,  5.373638609642493e-02, -3.200254419895965e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.495949808906900e-02,  5.396358652166775e-02, -3.232370922495942e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.627720349399800e-02,  5.417894832092594e-02, -3.262813945559909e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.749525020316200e-02,  5.438364437115282e-02, -3.291749284137267e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.823606117614900e-02,  5.457868144609477e-02, -3.319319253329766e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.917132330163300e-02,  5.476493017225090e-02, -3.345646922793580e-02,  1.126315789473684e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.998657222902100e-02,  5.494314852214131e-02, -3.370839437690955e-02,  1.126315789473684e+00,  3.395480171489818e+00
