# c0 + a0 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (total_metal_loading * time)) + a1 * ((ln(1.0*time-4.044973e+00)) / (av_BE_H_surf * surface_area)) + a2 * ((ln(1.0*av_EA-8.326824e-01)) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * (exp(5.264646e+01*(av_W_change_H * (particle_diameter-5.891972e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00722002982935864; Max AE: 0.0496334248446492
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -2.134112585677425e-04, -9.583280328016927e-01,  4.259121031236944e-04, -6.737581603827286e-02,  1.228817868345902e-01, 
# 3   , -6.604926645635607e-04, -1.665259742798300e+00,  3.242328397030372e-04, -6.419210428382399e-02,  9.871926348102959e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           11|log:1.0000000000000e+00,6.0100000001000e+00|1|0|mult|div; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (total_metal_loading * time)); $\left(\frac{ \left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) }{ \left(total_{metal, loading} time\right) } \right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) ./ (total_metal_loading .* time)); av_mu_C_critical_surf,total_metal_loading,time
# 1;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-4.0449728449019e+00|16|4|mult|div; ((ln(1.0*time-4.044973e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-4.045e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-4.044973e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 2;  2; eV^-1;                                            6|log:1.0000000000000e+00,-8.3268236901209e-01|18|16|sub|div; ((ln(1.0*av_EA-8.326824e-01)) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\ln{ \left(1.0av_{EA}-8.327e-01 \right)}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; (log(1.0*av_EA-8.326824e-01) ./ (av_d_band_center_surf - av_BE_H_surf)); av_EA,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         17|2|mult|exp:5.2646461287180e+01,0.0000000000000e+00,-7.2387063518995e-02,-5.8919715010374e+00; (exp(5.264646e+01*(av_W_change_H * (particle_diameter-5.891972e+00)))); $\left(\exp{ \left(5.265e+01\left(av_{W, change, H} * \left(particle_{diameter}-5.892e+00\right)\right) \right)}\right)$; exp(5.264646e+01.*(av_W_change_H .* (particle_diameter-5.891972e+00))); av_W_change_H,particle_diameter
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.573966119488152e-02,  3.919064124580877e+00, -1.424750490957668e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.154868803926941e-02,  1.959532062290438e+00, -1.987276103926580e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.449926656736499e-02,  1.306354708193626e+00, -2.280618574424002e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.648369842410951e-02,  9.797660311452192e-01, -2.480418026240504e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.797934757426605e-02,  7.838128249161753e-01, -2.632122920601625e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.232835059269099e-02,  6.917954826187458e-02,  6.531773540968128e-01, -2.754452808410508e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.018180647830408e-02,  5.598663035115538e-01, -2.856958897563917e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.104218044524516e-02,  4.898830155726096e-01, -2.945179080679260e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.179586363852630e-02,  4.354515693978752e-01, -3.022612577816757e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.246639843383360e-02,  3.919064124580877e-01, -3.091612100519553e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.307030860323349e-02,  3.562785567800797e-01, -3.153835761256707e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.361963729817730e-02,  3.265886770484064e-01, -3.210496165811096e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.412343283467066e-02,  3.014664711216059e-01, -3.262506976081491e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.458866571756403e-02,  2.799331517557769e-01, -3.310573756384235e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.502081961079435e-02,  2.612709416387251e-01, -3.355252734023010e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.542428614251814e-02,  2.449415077863048e-01, -3.396990180179552e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.580263682167701e-02,  2.305331837988751e-01, -3.436149608658934e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.615881527851281e-02,  2.177257846989376e-01, -3.473031052337630e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.649527629454336e-02,  2.062665328726777e-01, -3.507885034611274e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.681408836916012e-02,  1.959532062290438e-01, -3.540922896779627e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.711701072697161e-02,  1.866221011705179e-01, -3.572324565585801e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.740555204627722e-02,  1.781392783900398e-01, -3.602244486490293e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.768101587927445e-02,  1.703940923730816e-01, -3.630816219104753e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.794453622601233e-02,  1.632943385242032e-01, -3.658156041207992e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.819710571704755e-02,  1.567625649832351e-01, -3.684365807428525e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.843959817413712e-02,  1.507332355608030e-01, -3.709535240237879e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.867278684312207e-02,  1.451505231326251e-01, -3.733743783383714e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  7.992160875437500e-02,  7.889735925843558e-02,  1.399665758778884e-01, -3.757062114368170e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.911392945936402e-02,  1.351401422269268e-01, -3.779553388573981e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_9_100,  8.064863733312801e-02,  7.932304810475174e-02,  1.306354708193626e-01, -3.801274270220809e-02,  5.397561323584908e-01,  1.190181135746932e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.691624255995206e-02,  3.027227611471030e+00, -1.301289720888586e-02,  7.020307499090618e-01,  1.159008261245222e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.216296585439238e-02,  1.513613805735515e+00, -1.815070065263807e-02,  7.020307499090618e-01,  1.159008261245222e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.483822192417044e-02,  1.009075870490343e+00, -2.082993146519794e-02,  7.020307499090618e-01,  1.159008261245222e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.664087315192563e-02,  7.568069028677575e-01, -2.265479114791493e-02,  7.020307499090618e-01,  1.159008261245222e+00
