# FEAT_ID     Score                   Feature Expression
0             0.729156610048992682    (av_mu_C_critical_surf^3)
1             0.729675008628515753    (av_E_def_subsurf + av_mu_C_critical_subsurf)
2             0.729888620360623741    (av_mu_C_critical_surf^6)
3             0.730059002058236706    (av_E_b_C_subsurf - av_mu_C_critical_subsurf)
4             0.731096755151872557    (av_E_b_C_subsurf * av_mu_C_critical_subsurf)
5             0.731370272034973512    (|av_mu_C_critical_subsurf|)
6             0.731370272034973512    av_mu_C_critical_subsurf
7             0.731572454824954366    (av_BE_H_surf / av_BE_H_subsurf)
8             0.731966751678127414    (av_BE_H_subsurf / av_bulk_int_dist)
9             0.732326062629538921    (av_mu_C_critical_subsurf^2)
10            0.733029001085417686    (1.0 / av_BE_H_subsurf)
11            0.735154203612562895    (av_BE_H_surf * av_mu_C_critical_surf)
12            0.735561752117330658    (av_E_b_C_subsurf * av_bulk_int_dist)
13            0.73825471532781084     (av_BE_H_surf - av_E_b_C_subsurf)
14            0.738585568324772845    (exp(9.803198e-01*av_BE_H_surf))
15            0.739024252834481477    (av_BE_H_subsurf / av_BE_H_surf)
16            0.739241281055592059    (exp(8.859633e-01*av_BE_H_subsurf))
17            0.740503764789165242    (av_BE_H_subsurf - av_E_b_C_subsurf)
18            0.740885022201798304    (1.0 / av_BE_H_surf)
19            0.741029430656112154    (av_BE_H_surf + av_mu_C_critical_subsurf)
20            0.741515058649516057    (av_BE_H_subsurf / av_d_band_center_surf)
21            0.741867458815808511    (av_BE_H_subsurf + av_mu_C_critical_subsurf)
22            0.742837326146233545    (av_W_change_H - av_mu_C_critical_surf)
23            0.743668643003117413    (av_W_change_H - av_E_b_C_subsurf)
24            0.743668643003117413    (|av_W_change_H - av_E_b_C_subsurf|)
25            0.743925715442566249    (|av_BE_H_subsurf - av_E_def_subsurf|)
26            0.743925715442566249    (av_BE_H_subsurf - av_E_def_subsurf)
27            0.744997417013103513    (ln(-1.0*av_BE_H_subsurf+3.818863e-02))
28            0.747514943902084839    (ln(-1.0*av_BE_H_surf+1.014295e-02))
29            0.747690132817871334    cbrt(av_BE_H_subsurf)
30            0.749064460420523992    (av_BE_H_surf * av_E_b_C_subsurf)
31            0.749401300960251593    cbrt(av_BE_H_surf)
32            0.749718539041735132    (av_BE_H_surf * av_mu_C_critical_subsurf)
33            0.750091570674793817    (av_E_b_C_subsurf - av_mu_C_critical_surf)
34            0.75053082386803871     (av_BE_H_subsurf^3)
35            0.751033566256207763    (av_BE_H_subsurf * av_mu_C_critical_subsurf)
36            0.751245265901682169    (av_W_change_H + av_mu_C_critical_subsurf)
37            0.751855234656699234    av_BE_H_subsurf
38            0.752685557113332959    (av_BE_H_subsurf * av_E_b_C_subsurf)
39            0.752773321144843521    av_BE_H_surf
40            0.752832935524964886    (av_BE_H_subsurf * av_mu_C_critical_surf)
41            0.753295543433252224    (av_BE_H_subsurf + av_BE_H_surf)
42            0.753437334510001944    (av_mu_C_critical_subsurf + av_mu_C_critical_surf)
43            0.753827295471293901    (av_BE_H_subsurf^2)
44            0.756068578014096881    (av_BE_H_subsurf * av_BE_H_surf)
45            0.756664052854836511    (av_BE_H_surf^2)
46            0.757501593270333839    (av_BE_H_surf^6)
47            0.759106478145580965    (av_BE_H_surf^3)
48            0.759750319821272391    (av_E_b_C_subsurf * av_mu_C_critical_surf)
49            0.761894587314471572    (av_mu_C_critical_subsurf * av_mu_C_critical_surf)
#-----------------------------------------------------------------------
50            0.287751960564157472    (time / av_mu_C_critical_subsurf)
51            0.288324035956561531    (time / total_metal_loading)
52            0.288332143758981696    (av_d_band_center_surf / time)
53            0.288916024357008361    (time / av_E_b_C_subsurf)
54            0.290707684991071191    (time / av_BE_H_subsurf)
55            0.294389529129007954    (time / av_E_def_subsurf)
56            0.295999642827581899    (av_EA / time)
57            0.304615700082975893    (time / av_EA)
58            0.306800699540735855    (surface_area * time)
59            0.309560455725369943    (time / av_E_coh)
60            0.319983772967829261    (total_metal_loading / time)
61            0.320670644833128904    (time / av_BE_H_surf)
62            0.322434141455378853    (time / av_delta_M1_M2_subsurf)
