# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (time / av_E_b_C_subsurf) + a3 * (av_BE_H_surf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.132766548380649; Max AE: 0.867081690570886
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.379997605089958e+01, -7.937593038592634e-03,  4.703472994645597e-03,  2.194318653965838e-01, -9.862982526314599e-01, 
# 3   , -1.710016257904772e+01, -1.570569544170160e-02,  1.503253525796439e-02,  2.391518799124705e-01, -1.254438513010537e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV^-1 * min;                                      0|13|div; (time / av_E_b_C_subsurf); $\left(\frac{ time }{ av_{E, b, C, subsurf} } \right)$; (time ./ av_E_b_C_subsurf); time,av_E_b_C_subsurf
# 3;  1; eV^2;                                             16|11|mult; (av_BE_H_surf * av_mu_C_critical_surf); $\left(av_{BE, H, surf} av_{mu, C, critical, surf}\right)$; (av_BE_H_surf .* av_mu_C_critical_surf); av_BE_H_surf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.586193152049902e-01,  4.109589041095890e-02,  2.781000000000000e+00,  2.886465683130212e+00,  8.752319999999999e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.501212823552385e-01,  4.109589041095890e-02,  5.561999999999999e+00,  5.772931366260424e+00,  8.752319999999999e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.416232495054863e-01,  4.109589041095890e-02,  8.343000000000000e+00,  8.659397049390636e+00,  8.752319999999999e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.331252166557344e-01,  4.109589041095890e-02,  1.112400000000000e+01,  1.154586273252085e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.246271838059825e-01,  4.109589041095890e-02,  1.390500000000000e+01,  1.443232841565106e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.161291509562308e-01,  4.109589041095890e-02,  1.668600000000000e+01,  1.731879409878127e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.076311181064789e-01,  4.109589041095890e-02,  1.946700000000000e+01,  2.020525978191148e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.773647395214370e-01,  2.991330852567267e-01,  4.109589041095890e-02,  2.224800000000000e+01,  2.309172546504169e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.906350524069748e-01,  4.109589041095890e-02,  2.502900000000000e+01,  2.597819114817191e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.821370195572231e-01,  4.109589041095890e-02,  2.781000000000000e+01,  2.886465683130212e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.736389867074712e-01,  4.109589041095890e-02,  3.059100000000000e+01,  3.175112251443233e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.651409538577192e-01,  4.109589041095890e-02,  3.337200000000000e+01,  3.463758819756254e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.566429210079673e-01,  4.109589041095890e-02,  3.615300000000000e+01,  3.752405388069275e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.481448881582154e-01,  4.109589041095890e-02,  3.893400000000000e+01,  4.041051956382297e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.396468553084635e-01,  4.109589041095890e-02,  4.171500000000000e+01,  4.329698524695318e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.311488224587115e-01,  4.109589041095890e-02,  4.449600000000000e+01,  4.618345093008339e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.226507896089598e-01,  4.109589041095890e-02,  4.727699999999999e+01,  4.906991661321360e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.141527567592079e-01,  4.109589041095890e-02,  5.005800000000000e+01,  5.195638229634381e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.056547239094558e-01,  4.109589041095890e-02,  5.283900000000000e+01,  5.484284797947403e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.621887653386570e-01,  1.971566910597038e-01,  4.109589041095890e-02,  5.562000000000000e+01,  5.772931366260424e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.609797547787540e-01,  1.886586582099519e-01,  4.109589041095890e-02,  5.840100000000000e+01,  6.061577934573445e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.597681369110620e-01,  1.801606253602002e-01,  4.109589041095890e-02,  6.118200000000000e+01,  6.350224502886466e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.586590858830060e-01,  1.716625925104485e-01,  4.109589041095890e-02,  6.396299999999999e+01,  6.638871071199488e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.564021611090790e-01,  1.631645596606962e-01,  4.109589041095890e-02,  6.674400000000000e+01,  6.927517639512509e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.546665268109444e-01,  4.109589041095890e-02,  6.952499999999999e+01,  7.216164207825530e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.461684939611923e-01,  4.109589041095890e-02,  7.230600000000000e+01,  7.504810776138551e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.376704611114406e-01,  4.109589041095890e-02,  7.508699999999999e+01,  7.793457344451572e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.291724282616889e-01,  4.109589041095890e-02,  7.786799999999999e+01,  8.082103912764593e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.206743954119365e-01,  4.109589041095890e-02,  8.064900000000000e+01,  8.370750481077614e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.121763625621848e-01,  4.109589041095890e-02,  8.342999999999999e+01,  8.659397049390635e+01,  8.752319999999999e+00
PdAg_1_5_100,  5.770639017232591e-01,  3.693755335921214e-01,  5.128205128205128e-02,  2.744999999999996e+00,  2.750424448217319e+00,  9.443555555555548e+00
PdAg_1_5_100,  3.293542674131830e-01,  3.605233878171879e-01,  5.128205128205128e-02,  5.489999999999991e+00,  5.500848896434639e+00,  9.443555555555548e+00
PdAg_1_5_100,  2.565338589410230e-01,  3.516712420422541e-01,  5.128205128205128e-02,  8.234999999999987e+00,  8.251273344651958e+00,  9.443555555555548e+00
PdAg_1_5_100,  2.398208440226360e-01,  3.428190962673206e-01,  5.128205128205128e-02,  1.097999999999998e+01,  1.100169779286928e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.303037511075600e-01,  3.339669504923871e-01,  5.128205128205128e-02,  1.372499999999998e+01,  1.375212224108660e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.261682956735730e-01,  3.251148047174537e-01,  5.128205128205128e-02,  1.646999999999997e+01,  1.650254668930392e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.162626589425200e-01,  5.128205128205128e-02,  1.921499999999997e+01,  1.925297113752124e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.195369868150280e-01,  3.074105131675864e-01,  5.128205128205128e-02,  2.195999999999997e+01,  2.200339558573856e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.164592134781930e-01,  2.985583673926529e-01,  5.128205128205128e-02,  2.470499999999996e+01,  2.475382003395588e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.141497061269980e-01,  2.897062216177194e-01,  5.128205128205128e-02,  2.744999999999996e+01,  2.750424448217320e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.121100061106850e-01,  2.808540758427858e-01,  5.128205128205128e-02,  3.019499999999995e+01,  3.025466893039052e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.099035907134980e-01,  2.720019300678521e-01,  5.128205128205128e-02,  3.293999999999995e+01,  3.300509337860783e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.074551680388040e-01,  2.631497842929185e-01,  5.128205128205128e-02,  3.568499999999995e+01,  3.575551782682516e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.542976385179850e-01,  5.128205128205128e-02,  3.842999999999994e+01,  3.850594227504247e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.454454927430514e-01,  5.128205128205128e-02,  4.117499999999993e+01,  4.125636672325980e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.365933469681181e-01,  5.128205128205128e-02,  4.391999999999993e+01,  4.400679117147711e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.013479605126910e-01,  2.277412011931841e-01,  5.128205128205128e-02,  4.666499999999993e+01,  4.675721561969443e+01,  9.443555555555548e+00
PdAg_1_5_100,  2.000269286823050e-01,  2.188890554182508e-01,  5.128205128205128e-02,  4.940999999999992e+01,  4.950764006791175e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.973081438407180e-01,  2.100369096433171e-01,  5.128205128205128e-02,  5.215499999999992e+01,  5.225806451612907e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.969854579108610e-01,  2.011847638683837e-01,  5.128205128205128e-02,  5.489999999999991e+01,  5.500848896434639e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.963439311488950e-01,  1.923326180934502e-01,  5.128205128205128e-02,  5.764499999999990e+01,  5.775891341256371e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.940684048443220e-01,  1.834804723185164e-01,  5.128205128205128e-02,  6.038999999999990e+01,  6.050933786078103e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.926261364587620e-01,  1.746283265435831e-01,  5.128205128205128e-02,  6.313499999999990e+01,  6.325976230899835e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.657761807686494e-01,  5.128205128205128e-02,  6.587999999999990e+01,  6.601018675721566e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.891192110734720e-01,  1.569240349937160e-01,  5.128205128205128e-02,  6.862499999999989e+01,  6.876061120543299e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.480718892187821e-01,  5.128205128205128e-02,  7.136999999999989e+01,  7.151103565365031e+01,  9.443555555555548e+00
PdAg_1_5_100,  1.864446344370330e-01,  1.392197434438487e-01,  5.128205128205128e-02,  7.411499999999988e+01,  7.426146010186763e+01,  9.443555555555548e+00
