# c0 + a0 * (exp(1.169115e+02*((av_E_b_C_subsurf-3.855796e+00) / (time+7.646477e+02))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.220996811572781; Max AE: 0.782754856920485
# Coefficients
# Task   a0                      c0
# 2   ,  3.862404390278881e+00, -4.002155014567057e+00, 
# 3   ,  3.740139552453540e+00, -4.047263809253321e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         13|0|div|exp:1.1691153668553e+02,0.0000000000000e+00,-3.8557964415157e+00,7.6464774181988e+02; (exp(1.169115e+02*((av_E_b_C_subsurf-3.855796e+00) / (time+7.646477e+02)))); $\left(\exp{ \left(1.169e+02\left(\frac{ av_{E, b, C, subsurf} -3.856e+00 }{ time+7.646e+02 } \right) \right)}\right)$; exp(1.169115e+02.*((av_E_b_C_subsurf-3.855796e+00) ./ (time+7.646477e+02))); av_E_b_C_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.674397611451475e-01,  1.131314677124397e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.582557524793681e-01,  1.128936881394645e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.493980656223565e-01,  1.126643572366904e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.408496294730159e-01,  1.124430330229220e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.325945421683352e-01,  1.122293037892494e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.246179727482479e-01,  1.120227855530916e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.169060725728230e-01,  1.118231197647336e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.094458953825647e-01,  1.116299712376390e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.022253250343863e-01,  1.114430262774906e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.952330100675519e-01,  1.112619909880622e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.884583043586412e-01,  1.110865897347403e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.818912132150220e-01,  1.109165637488506e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.755223443344668e-01,  1.107516698579731e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.693428631263575e-01,  1.105916793291806e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.633444519488005e-01,  1.104363768136633e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.575192728672229e-01,  1.102855593825253e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.518599335847860e-01,  1.101390356447033e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.463594562340300e-01,  1.099966249389626e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.410112487534384e-01,  1.098581565928192e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.358090786026724e-01,  1.097234692420110e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.307470485966512e-01,  1.095924102048278e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.258195746619654e-01,  1.094648349062110e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.210213653396356e-01,  1.093406063470677e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.163474028764107e-01,  1.092195946147129e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.117929257628703e-01,  1.091016764307702e+00
PdAg_1_9_100,  2.537741737812260e-01,  2.073534125908704e-01,  1.089867347332314e+00
PdAg_1_9_100,  2.518192543109310e-01,  2.030245671155320e-01,  1.088746582897022e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.988023044182518e-01,  1.087653413391544e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.946827380772345e-01,  1.086586832597625e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.906621682610400e-01,  1.085545882606394e+00
PdAg_1_5_100,  5.770639017232591e-01,  5.219807833064871e-01,  1.171326288169138e+00
PdAg_1_5_100,  3.293542674131830e-01,  5.097969315498793e-01,  1.168171814808639e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.980528367000983e-01,  1.165131197187310e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.867251501203883e-01,  1.162198390201014e+00
PdAg_1_5_100,  2.303037511075600e-01,  4.757921449654249e-01,  1.159367768637286e+00
PdAg_1_5_100,  2.261682956735730e-01,  4.652335779567592e-01,  1.156634091388150e+00
PdAg_1_5_100,  2.236877838869310e-01,  4.550305650414988e-01,  1.153992469257402e+00
PdAg_1_5_100,  2.195369868150280e-01,  4.451654693359416e-01,  1.151438335948527e+00
PdAg_1_5_100,  2.164592134781930e-01,  4.356217999625693e-01,  1.148967421872986e+00
PdAg_1_5_100,  2.141497061269980e-01,  4.263841205658889e-01,  1.146575730464408e+00
PdAg_1_5_100,  2.121100061106850e-01,  4.174379664448056e-01,  1.144259516723662e+00
PdAg_1_5_100,  2.099035907134980e-01,  4.087697693702928e-01,  1.142015267753686e+00
PdAg_1_5_100,  2.074551680388040e-01,  4.003667892702557e-01,  1.139839685072291e+00
PdAg_1_5_100,  2.050856479851930e-01,  3.922170520614744e-01,  1.137729668516465e+00
PdAg_1_5_100,  2.038357874315140e-01,  3.843092929934407e-01,  1.135682301573756e+00
PdAg_1_5_100,  2.024470208367670e-01,  3.766329049427663e-01,  1.133694837995370e+00
PdAg_1_5_100,  2.013479605126910e-01,  3.691778911611702e-01,  1.131764689562348e+00
PdAg_1_5_100,  2.000269286823050e-01,  3.619348220362452e-01,  1.129889414890655e+00
PdAg_1_5_100,  1.973081438407180e-01,  3.548947954732962e-01,  1.128066709173805e+00
PdAg_1_5_100,  1.969854579108610e-01,  3.480494005496397e-01,  1.126294394772732e+00
PdAg_1_5_100,  1.963439311488950e-01,  3.413906841305279e-01,  1.124570412572456e+00
PdAg_1_5_100,  1.940684048443220e-01,  3.349111201691662e-01,  1.122892814033662e+00
PdAg_1_5_100,  1.926261364587620e-01,  3.286035814425537e-01,  1.121259753874946e+00
PdAg_1_5_100,  1.905512205622570e-01,  3.224613135008071e-01,  1.119669483328132e+00
PdAg_1_5_100,  1.891192110734720e-01,  3.164779106304674e-01,  1.118120343915025e+00
PdAg_1_5_100,  1.877437449997070e-01,  3.106472936525948e-01,  1.116610761699204e+00
PdAg_1_5_100,  1.864446344370330e-01,  3.049636893944127e-01,  1.115139241971108e+00
PdAg_1_5_100,  1.848761965650050e-01,  2.994216116892635e-01,  1.113704364328803e+00
PdAg_1_5_100,  1.846523109974680e-01,  2.940158437738468e-01,  1.112304778120528e+00
PdAg_1_5_100,  1.849359671980280e-01,  2.887414219643828e-01,  1.110939198218346e+00
PdAg_1_1_100,  1.535896786579120e+00,  1.380641672459151e+00,  1.393638817461459e+00
PdAg_1_1_100,  1.542341149952750e+00,  1.350259957201230e+00,  1.385772806503521e+00
PdAg_1_1_100,  1.476543275391880e+00,  1.321060031225890e+00,  1.378212767982223e+00
PdAg_1_1_100,  1.443594468047830e+00,  1.292974668549385e+00,  1.370941296681291e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.265941621188823e+00,  1.363942276219167e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.239903168791181e+00,  1.357200762445214e+00
PdAg_1_1_100,  1.208605384312000e+00,  1.214805716101761e+00,  1.350702879221855e+00
PdAg_1_1_100,  1.124408621718650e+00,  1.190599432466557e+00,  1.344435725089541e+00
PdAg_1_1_100,  1.055882869290930e+00,  1.167237928352081e+00,  1.338387289515764e+00
PdAg_1_1_100,  1.010936655602070e+00,  1.144677964536916e+00,  1.332546377602981e+00
PdAg_1_1_100,  9.741100506334990e-01,  1.122879190201055e+00,  1.326902542278351e+00
PdAg_1_1_100,  9.478991583993770e-01,  1.101803906627790e+00,  1.321446023114716e+00
PdAg_1_1_100,  9.217389182624810e-01,  1.081416853651769e+00,  1.316167691040702e+00
PdAg_1_1_100,  8.995066396137220e-01,  1.061685016346683e+00,  1.311058998290987e+00
PdAg_1_1_100,  8.704807885278290e-01,  1.042577449755971e+00,  1.306111933028012e+00
PdAg_1_1_100,  8.640896201761730e-01,  1.024065119737547e+00,  1.301318978135713e+00
PdAg_1_1_100,  8.596665013433460e-01,  1.006120758225073e+00,  1.296673073745785e+00
PdAg_1_1_100,  8.441400331191570e-01,  9.887187314091149e-01,  1.292167583108979e+00
PdAg_1_1_100,  8.305147648333780e-01,  9.718349195160689e-01,  1.287796261469137e+00
PdAg_1_1_100,  8.196082741920870e-01,  9.554466070147748e-01,  1.283553227637014e+00
PdAg_1_1_100,  8.088625391977590e-01,  9.395323822133730e-01,  1.279432937995294e+00
PdAg_1_1_100,  7.987791951287240e-01,  9.240720453250193e-01,  1.275430162696243e+00
PdAg_1_1_100,  7.909704423439380e-01,  9.090465241827235e-01,  1.271539963839771e+00
PdAg_1_1_100,  7.811341630508190e-01,  8.944377968728069e-01,  1.267757675442760e+00
PdAg_1_1_100,  7.748485070789100e-01,  8.802288206349556e-01,  1.264078885030856e+00
PdAg_1_1_100,  7.616541677031310e-01,  8.664034664460013e-01,  1.260499416701815e+00
PdAg_1_1_100,  7.507945291751720e-01,  8.529464587655408e-01,  1.257015315525271e+00
PdAg_1_1_100,  7.431020909817240e-01,  8.398433199754929e-01,  1.253622833157804e+00
PdAg_1_1_100,  7.336770425315350e-01,  8.270803190933895e-01,  1.250318414564498e+00
