# c0 + a0 * (av_mu_C_critical_surf * time) + a1 * (time / av_IP) + a2 * (surface_area / std_dev) + a3 * (time / av_B_0) + a4 * (av_W_change_H - av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.113584765536848; Max AE: 0.602330252046829
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  2.499927888498319e-03,  2.592612127339641e-01, -8.524434837536192e-03, -2.539442976717865e+00, -9.918373480589356e-01,  4.844619653641976e+00, 
# 3   ,  5.774309036313595e-03,  5.782537350622668e-01, -1.032437367178641e-02, -5.683299234747006e+00, -1.026986212216404e+00,  5.253105840473400e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min;                                         11|0|mult; (av_mu_C_critical_surf * time); $\left(av_{mu, C, critical, surf} time\right)$; (av_mu_C_critical_surf .* time); av_mu_C_critical_surf,time
# 1;  1; eV^-1 * min;                                      0|5|div; (time / av_IP); $\left(\frac{ time }{ av_{IP} } \right)$; (time ./ av_IP); time,av_IP
# 2;  1; g^-1 * m^2 * nm^-1;                               4|3|div; (surface_area / std_dev); $\left(\frac{ surface_{area} }{ std_{dev} } \right)$; (surface_area ./ std_dev); surface_area,std_dev
# 3;  1; Gpa^-1 * min;                                     0|10|div; (time / av_B_0); $\left(\frac{ time }{ av_{B, 0} } \right)$; (time ./ av_B_0); time,av_B_0
# 4;  1; eV;                                               17|11|sub; (av_W_change_H - av_mu_C_critical_surf); $\left(av_{W, change, H} - av_{mu, C, critical, surf}\right)$; (av_W_change_H - av_mu_C_critical_surf); av_W_change_H,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.187904247652085e-01, -5.470200000000000e+01,  1.764221586231231e+00,  2.433333333333333e+01,  1.252086811352254e-01,  4.154999999999999e+00
PdAg_1_9_100,  4.212956441336370e-01,  5.214732914533654e-01, -1.094040000000000e+02,  3.528443172462461e+00,  2.433333333333333e+01,  2.504173622704507e-01,  4.154999999999999e+00
PdAg_1_9_100,  4.889175556194310e-01,  5.241561581415223e-01, -1.641060000000000e+02,  5.292664758693692e+00,  2.433333333333333e+01,  3.756260434056761e-01,  4.154999999999999e+00
PdAg_1_9_100,  5.056601140297000e-01,  5.268390248296791e-01, -2.188080000000000e+02,  7.056886344924923e+00,  2.433333333333333e+01,  5.008347245409015e-01,  4.154999999999999e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.295218915178360e-01, -2.735100000000000e+02,  8.821107931156153e+00,  2.433333333333333e+01,  6.260434056761269e-01,  4.154999999999999e+00
PdAg_1_9_100,  5.343009987338970e-01,  5.322047582059938e-01, -3.282120000000000e+02,  1.058532951738738e+01,  2.433333333333333e+01,  7.512520868113522e-01,  4.154999999999999e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.348876248941498e-01, -3.829140000000000e+02,  1.234955110361861e+01,  2.433333333333333e+01,  8.764607679465777e-01,  4.154999999999999e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.375704915823066e-01, -4.376160000000000e+02,  1.411377268984985e+01,  2.433333333333333e+01,  1.001669449081803e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.402533582704644e-01, -4.923179999999999e+02,  1.587799427608108e+01,  2.433333333333333e+01,  1.126878130217029e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.429362249586204e-01, -5.470200000000000e+02,  1.764221586231231e+01,  2.433333333333333e+01,  1.252086811352254e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.456190916467772e-01, -6.017220000000000e+02,  1.940643744854354e+01,  2.433333333333333e+01,  1.377295492487479e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.483019583349341e-01, -6.564240000000000e+02,  2.117065903477477e+01,  2.433333333333333e+01,  1.502504173622704e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.509848250230910e-01, -7.111260000000000e+02,  2.293488062100600e+01,  2.433333333333333e+01,  1.627712854757930e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.536676917112479e-01, -7.658280000000000e+02,  2.469910220723723e+01,  2.433333333333333e+01,  1.752921535893155e+00,  4.154999999999999e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.563505583994056e-01, -8.205300000000000e+02,  2.646332379346846e+01,  2.433333333333333e+01,  1.878130217028381e+00,  4.154999999999999e+00
