# c0 + a0 * ((time / std_dev) / (av_d_band_center_surf^3)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((av_E_def_subsurf * total_metal_loading) * particle_diameter) + a3 * (exp(8.365003e-04*((time+3.592461e+02) / (av_BE_H_subsurf+1.384560e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.103410195159127; Max AE: 0.607758733963545
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.368486914997375e-02,  6.159355124359801e-07,  2.790219779882630e+01, -2.746221881158560e+00,  9.611761055103603e-02, 
# 3   , -2.537311559409868e-03,  1.238796068077836e-06,  5.443530981270049e+01, -2.681528327047614e+00, -2.038559658843010e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-3 * min * nm^-1;                              0|3|div|18|cb|div; ((time / std_dev) / (av_d_band_center_surf^3)); $\left(\frac{ \left(\frac{ time }{ std_{dev} } \right) }{ \left(av_{d, band, center, surf}^3\right) } \right)$; ((time ./ std_dev) ./ (av_d_band_center_surf).^3); time,std_dev,av_d_band_center_surf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV * nm;                                          14|1|mult|2|mult; ((av_E_def_subsurf * total_metal_loading) * particle_diameter); $\left(\left(av_{E, def, subsurf} total_{metal, loading}\right) particle_{diameter}\right)$; ((av_E_def_subsurf .* total_metal_loading) .* particle_diameter); av_E_def_subsurf,total_metal_loading,particle_diameter
# 3;  2; Unitless;                                         0|19|div|exp:8.3650034652990e-04,0.0000000000000e+00,3.5924611296090e+02,1.3845597994740e+00; (exp(8.365003e-04*((time+3.592461e+02) / (av_BE_H_subsurf+1.384560e+00)))); $\left(\exp{ \left(8.365e-04\left(\frac{ time +3.592e+02 }{ av_{BE, H, subsurf}+1.385e+00 } \right) \right)}\right)$; exp(8.365003e-04.*((time+3.592461e+02) ./ (av_BE_H_subsurf+1.384560e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.292496064379936e-01, -7.757878968076236e-02,  7.660313335186942e+01,  1.569720000000000e-02,  1.398252061031397e-03
PdAg_1_9_100,  4.212956441336370e-01,  5.290485428954493e-01, -1.551575793615247e-01,  1.532062667037388e+02,  1.569720000000000e-02,  1.102059878442033e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.286751745675989e-01, -2.327363690422871e-01,  2.298094000556082e+02,  1.569720000000000e-02,  8.686101808967003e-04
PdAg_1_9_100,  5.056601140297000e-01,  5.281660008323819e-01, -3.103151587230494e-01,  3.064125334074777e+02,  1.569720000000000e-02,  6.846122076633459e-04
PdAg_1_9_100,  5.190263630918930e-01,  5.275497893928014e-01, -3.878939484038118e-01,  3.830156667593470e+02,  1.569720000000000e-02,  5.395905841189073e-04
PdAg_1_9_100,  5.343009987338970e-01,  5.268492140801062e-01, -4.654727380845741e-01,  4.596188001112164e+02,  1.569720000000000e-02,  4.252889376067905e-04
PdAg_1_9_100,  5.224295719363120e-01,  5.260821457205985e-01, -5.430515277653365e-01,  5.362219334630859e+02,  1.569720000000000e-02,  3.351998455385475e-04
PdAg_1_9_100,  5.245052994310410e-01,  5.252626695577126e-01, -6.206303174460989e-01,  6.128250668149553e+02,  1.569720000000000e-02,  2.641943547399532e-04
PdAg_1_9_100,  5.250038067660980e-01,  5.244018871532486e-01, -6.982091071268612e-01,  6.894282001668247e+02,  1.569720000000000e-02,  2.082299798328319e-04
PdAg_1_9_100,  5.324653140763990e-01,  5.235085484216093e-01, -7.757878968076236e-01,  7.660313335186941e+02,  1.569720000000000e-02,  1.641205564133294e-04
PdAg_1_9_100,  5.309811253181910e-01,  5.225895497800229e-01, -8.533666864883859e-01,  8.426344668705635e+02,  1.569720000000000e-02,  1.293548463052481e-04
PdAg_1_9_100,  5.301609565427799e-01,  5.216503267754440e-01, -9.309454761691482e-01,  9.192376002224329e+02,  1.569720000000000e-02,  1.019535677207546e-04
PdAg_1_9_100,  5.311850747278510e-01,  5.206951635411726e-01, -1.008524265849911e+00,  9.958407335743022e+02,  1.569720000000000e-02,  8.035671076800462e-05
PdAg_1_9_100,  5.331594707700800e-01,  5.197274367011775e-01, -1.086103055530673e+00,  1.072443866926172e+03,  1.569720000000000e-02,  6.333472295092879e-05
PdAg_1_9_100,  5.354507873556270e-01,  5.187498076080888e-01, -1.163681845211435e+00,  1.149047000278041e+03,  1.569720000000000e-02,  4.991850827308950e-05
PdAg_1_9_100,  5.337303696543760e-01,  5.177643738593556e-01, -1.241260634892198e+00,  1.225650133629911e+03,  1.569720000000000e-02,  3.934425465382045e-05
PdAg_1_9_100,  5.357515610659280e-01,  5.167727887176866e-01, -1.318839424572960e+00,  1.302253266981780e+03,  1.569720000000000e-02,  3.100994857050172e-05
PdAg_1_9_100,  5.338785022320920e-01,  5.157763552346205e-01, -1.396418214253722e+00,  1.378856400333649e+03,  1.569720000000000e-02,  2.444110121811106e-05
PdAg_1_9_100,  5.368098128623250e-01,  5.147761004358704e-01, -1.473997003934485e+00,  1.455459533685519e+03,  1.569720000000000e-02,  1.926373490739025e-05
PdAg_1_9_100,  5.372121836650180e-01,  5.137728337919636e-01, -1.551575793615247e+00,  1.532062667037388e+03,  1.569720000000000e-02,  1.518309176295309e-05
PdAg_1_9_100,  5.374193757726820e-01,  5.127671933030257e-01, -1.629154583296009e+00,  1.608665800389258e+03,  1.569720000000000e-02,  1.196685256470265e-05
PdAg_1_9_100,  5.370904880212340e-01,  5.117596818214109e-01, -1.706733372976772e+00,  1.685268933741127e+03,  1.569720000000000e-02,  9.431910347453285e-06
PdAg_1_9_100,  5.357670351206070e-01,  5.107506956800981e-01, -1.784312162657534e+00,  1.761872067092997e+03,  1.569720000000000e-02,  7.433945753187837e-06
PdAg_1_9_100,  5.243066765750370e-01,  5.097405472567242e-01, -1.861890952338296e+00,  1.838475200444866e+03,  1.569720000000000e-02,  5.859210639789563e-06
