# c0 + a0 * ((time / total_metal_loading) / (av_d_band_center_surf^3)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((av_E_def_subsurf * total_metal_loading) * particle_diameter) + a3 * (exp(8.365003e-04*((time+3.592461e+02) / (av_BE_H_subsurf+1.384560e+00)))) + a4 * (exp(5.275379e+01*((av_BE_H_subsurf+1.354269e+00) / (time+5.752702e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0914737242736859; Max AE: 0.599559568273468
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  9.478827870193577e-05,  6.497790089095290e-07,  3.476654003808081e+01, -5.620656681536768e+00, -3.644091021980582e+01,  3.621293361015744e+01, 
# 3   , -1.616131626325030e-05,  1.246519464993778e-06,  5.355788556912940e+01, -2.558567223767255e+00,  1.539290999482477e+00, -1.722757135260156e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-3 * min;                                      0|1|div|18|cb|div; ((time / total_metal_loading) / (av_d_band_center_surf^3)); $\left(\frac{ \left(\frac{ time }{ total_{metal, loading} } \right) }{ \left(av_{d, band, center, surf}^3\right) } \right)$; ((time ./ total_metal_loading) ./ (av_d_band_center_surf).^3); time,total_metal_loading,av_d_band_center_surf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV * nm;                                          14|1|mult|2|mult; ((av_E_def_subsurf * total_metal_loading) * particle_diameter); $\left(\left(av_{E, def, subsurf} total_{metal, loading}\right) particle_{diameter}\right)$; ((av_E_def_subsurf .* total_metal_loading) .* particle_diameter); av_E_def_subsurf,total_metal_loading,particle_diameter
# 3;  2; Unitless;                                         0|19|div|exp:8.3650034652990e-04,0.0000000000000e+00,3.5924611296090e+02,1.3845597994740e+00; (exp(8.365003e-04*((time+3.592461e+02) / (av_BE_H_subsurf+1.384560e+00)))); $\left(\exp{ \left(8.365e-04\left(\frac{ time +3.592e+02 }{ av_{BE, H, subsurf}+1.385e+00 } \right) \right)}\right)$; exp(8.365003e-04.*((time+3.592461e+02) ./ (av_BE_H_subsurf+1.384560e+00))); time,av_BE_H_subsurf
# 4;  2; Unitless;                                         19|0|div|exp:5.2753793929962e+01,0.0000000000000e+00,1.3542694261372e+00,5.7527015093521e+02; (exp(5.275379e+01*((av_BE_H_subsurf+1.354269e+00) / (time+5.752702e+02)))); $\left(\exp{ \left(5.275e+01\left(\frac{ av_{BE, H, subsurf} +1.354e+00 }{ time+5.753e+02 } \right) \right)}\right)$; exp(5.275379e+01.*((av_BE_H_subsurf+1.354269e+00) ./ (time+5.752702e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.611310528181939e-01, -1.832569834978638e+01,  7.660313335186942e+01,  1.569720000000000e-02,  1.398252061031397e-03,  9.930595391350246e-01
PdAg_1_9_100,  4.212956441336370e-01,  5.554586629171037e-01, -3.665139669957276e+01,  1.532062667037388e+02,  1.569720000000000e-02,  1.102059878442033e-03,  9.932145818642699e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.496805281993538e-01, -5.497709504935916e+01,  2.298094000556082e+02,  1.569720000000000e-02,  8.686101808967003e-04,  9.933628489902271e-01
PdAg_1_9_100,  5.056601140297000e-01,  5.438555121678119e-01, -7.330279339914553e+01,  3.064125334074777e+02,  1.569720000000000e-02,  6.846122076633459e-04,  9.935047751699922e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.380279804332813e-01, -9.162849174893192e+01,  3.830156667593470e+02,  1.569720000000000e-02,  5.395905841189073e-04,  9.936407586612790e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.322310167843648e-01, -1.099541900987183e+02,  4.596188001112164e+02,  1.569720000000000e-02,  4.252889376067905e-04,  9.937711650545031e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.264889455842570e-01, -1.282798884485047e+02,  5.362219334630859e+02,  1.569720000000000e-02,  3.351998455385475e-04,  9.938963305549074e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.208193086476255e-01, -1.466055867982911e+02,  6.128250668149553e+02,  1.569720000000000e-02,  2.641943547399532e-04,  9.940165648767720e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.152344132382058e-01, -1.649312851480774e+02,  6.894282001668247e+02,  1.569720000000000e-02,  2.082299798328319e-04,  9.941321538021649e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.097425430047083e-01, -1.832569834978638e+02,  7.660313335186941e+02,  1.569720000000000e-02,  1.641205564133294e-04,  9.942433614487357e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.043489041201542e-01, -2.015826818476502e+02,  8.426344668705635e+02,  1.569720000000000e-02,  1.293548463052481e-04,  9.943504322844341e-01
PdAg_1_9_100,  5.301609565427799e-01,  4.990563634917184e-01, -2.199083801974366e+02,  9.192376002224329e+02,  1.569720000000000e-02,  1.019535677207546e-04,  9.944535929214984e-01
PdAg_1_9_100,  5.311850747278510e-01,  4.938660237807892e-01, -2.382340785472230e+02,  9.958407335743022e+02,  1.569720000000000e-02,  8.035671076800462e-05,  9.945530537174249e-01
PdAg_1_9_100,  5.331594707700800e-01,  4.887776704245629e-01, -2.565597768970094e+02,  1.072443866926172e+03,  1.569720000000000e-02,  6.333472295092879e-05,  9.946490102067158e-01
PdAg_1_9_100,  5.354507873556270e-01,  4.837901183320886e-01, -2.748854752467957e+02,  1.149047000278041e+03,  1.569720000000000e-02,  4.991850827308950e-05,  9.947416443839157e-01
PdAg_1_9_100,  5.337303696543760e-01,  4.789014800091059e-01, -2.932111735965821e+02,  1.225650133629911e+03,  1.569720000000000e-02,  3.934425465382045e-05,  9.948311258556475e-01
PdAg_1_9_100,  5.357515610659280e-01,  4.741093722076868e-01, -3.115368719463685e+02,  1.302253266981780e+03,  1.569720000000000e-02,  3.100994857050172e-05,  9.949176128769943e-01
